"","sample_no","image_name","year","age","sex_histology","maturation_status_histology","maturity","anu_adj","radcap","length_mm","Increment1","Increment2","Increment3","Increment4","Increment5","Increment6","Increment7","anu1","anu2","anu3","anu4","anu5","anu6","anu7"
"93",339,"17NPRB033905S23S9",2017,5,"Female","3","mature",0.148,4.388,204.12,1.699,1.495,0.861,0.185,0.148,NA,NA,1.699,1.495,0.861,0.185,0.148,0,0
"94",340,"17NPRB034005S23S10",2017,5,"Female","4","mature",0.186,3.882,203,1.734,0.997,0.672,0.293,0.186,NA,NA,1.734,0.997,0.672,0.293,0.186,0,0
"95",341,"17NPRB034106S23S11",2017,6,"Female","4","mature",0.141,5.043,211,1.827,1.137,0.97,0.555,0.413,0.141,NA,1.827,1.137,0.97,0.555,0.413,0.141,0
"96",343,"17NPRB034305S23S13",2017,5,"Female","3","mature",0.069,3.985,198,1.536,1.164,0.767,0.449,0.069,NA,NA,1.536,1.164,0.767,0.449,0.069,0,0
"97",345,"17NPRB034505S23S15",2017,5,"Female","3","mature",0.268,3.974,211,1.848,1.195,0.404,0.259,0.268,NA,NA,1.848,1.195,0.404,0.259,0.268,0,0
"98",346,"17NPRB034606S24S1",2017,6,"Female","3","mature",0.152,3.902,183,1.442,1.052,0.621,0.35,0.285,0.152,NA,1.442,1.052,0.621,0.35,0.285,0.152,0
"99",355,"17NPRB035506S24S10",2017,6,"Female","4","mature",0.17,4.765,218,1.627,1.365,0.89,0.33,0.383,0.17,NA,1.627,1.365,0.89,0.33,0.383,0.17,0
"100",362,"17NPRB036202S25S2",2017,2,"Female","1","immature",1.349,3.143,150.57,1.794,1.349,NA,NA,NA,NA,NA,1.794,1.349,0,0,0,0,0
"101",366,"17NPRB036605S25S6",2017,5,"Female","3","mature",0.084,3.352,183,1.711,0.813,0.397,0.347,0.084,NA,NA,1.711,0.813,0.397,0.347,0.084,0,0
"102",368,"17NPRB036805S25S8",2017,5,"Female","3","mature",0.168,3.562,172,0.896,1.261,0.707,0.53,0.168,NA,NA,0.896,1.261,0.707,0.53,0.168,0,0
"103",370,"17NPRB037005S25S10",2017,5,"Female","4","mature",0.155,4.346,191,2.251,1.157,0.523,0.26,0.155,NA,NA,2.251,1.157,0.523,0.26,0.155,0,0
"104",375,"17NPRB037506S25S15",2017,6,"Female","4","mature",0.134,3.492,186,1.29,0.995,0.724,0.21,0.139,0.134,NA,1.29,0.995,0.724,0.21,0.139,0.134,0
"105",376,"17NPRB037605S26S1",2017,5,"Female","4","mature",0.133,4.684,198,1.572,1.46,1.235,0.284,0.133,NA,NA,1.572,1.46,1.235,0.284,0.133,0,0
"106",384,"17NPRB038405S26S9",2017,5,"Female","3","mature",0.281,4.859,197,1.563,1.474,0.926,0.615,0.281,NA,NA,1.563,1.474,0.926,0.615,0.281,0,0
"107",388,"17NPRB038805S26S13",2017,5,"Female","4","mature",0.476,4.906,198,1.795,1.518,0.704,0.413,0.476,NA,NA,1.795,1.518,0.704,0.413,0.476,0,0
"108",400,"17NPRB040005S28S5",2017,5,"Female","3","mature",0.212,5.009,211,1.961,1.658,0.702,0.476,0.212,NA,NA,1.961,1.658,0.702,0.476,0.212,0,0
"109",401,"17NPRB040105S28S6",2017,5,"Female","4","mature",0.501,4.007,196,1.447,1.326,0.397,0.336,0.501,NA,NA,1.447,1.326,0.397,0.336,0.501,0,0
"110",409,"17NPRB040905S28S14",2017,5,"Female","5","mature",0.341,4.974,215,2.236,1.227,0.657,0.513,0.341,NA,NA,2.236,1.227,0.657,0.513,0.341,0,0
"111",419,"17NPRB041903S29S9",2017,3,"Female","1","immature",0.391,2.739,162,1.545,0.803,0.391,NA,NA,NA,NA,1.545,0.803,0.391,0,0,0,0
"112",427,"17NPRB042703S30S2",2017,3,"Female","1","immature",0.594,4.299,182,2.32,1.385,0.594,NA,NA,NA,NA,2.32,1.385,0.594,0,0,0,0
"113",433,"17NPRB043305S30S8",2017,5,"Female","4","mature",0.251,4.503,204,1.465,1.491,0.716,0.58,0.251,NA,NA,1.465,1.491,0.716,0.58,0.251,0,0
"114",435,"17NPRB043504S30S10",2017,4,"Female","1","immature",0.307,3.042,191,1.519,0.765,0.451,0.307,NA,NA,NA,1.519,0.765,0.451,0.307,0,0,0
"115",436,"17NPRB043606S30S11",2017,6,"Female","5","mature",0.104,3.808,196,1.411,1.217,0.512,0.303,0.261,0.104,NA,1.411,1.217,0.512,0.303,0.261,0.104,0
"116",438,"17NPRB043805S30S13",2017,5,"Female","4","mature",0.154,3.805,194,1.516,1.176,0.593,0.366,0.154,NA,NA,1.516,1.176,0.593,0.366,0.154,0,0
"117",447,"17NPRB044702S31S7",2017,2,"Female","1","immature",1.224,3.868,160,2.644,1.224,NA,NA,NA,NA,NA,2.644,1.224,0,0,0,0,0
"118",448,"17NPRB044802S31S8",2017,2,"Female","1","immature",1.295,3.613,152,2.318,1.295,NA,NA,NA,NA,NA,2.318,1.295,0,0,0,0,0
"119",452,"17NPRB045202S31S12",2017,2,"Female","1","immature",1.059,2.931,162,1.872,1.059,NA,NA,NA,NA,NA,1.872,1.059,0,0,0,0,0
"120",455,"17NPRB045505S31S15",2017,5,"Female","4","mature",0.428,4.709,198,1.685,1.25,1.013,0.333,0.428,NA,NA,1.685,1.25,1.013,0.333,0.428,0,0
"121",459,"17NPRB045902S32S4",2017,2,"Female","1","immature",0.836,2.243,133,1.407,0.836,NA,NA,NA,NA,NA,1.407,0.836,0,0,0,0,0
"122",460,"17NPRB046002S32S5",2017,2,"Female","2","mature",0.961,3.287,167,2.326,0.961,NA,NA,NA,NA,NA,2.326,0.961,0,0,0,0,0
"123",461,"17NPRB046103S32S6",2017,3,"Female","1","immature",0.408,3.37,193,1.859,1.103,0.408,NA,NA,NA,NA,1.859,1.103,0.408,0,0,0,0
"124",463,"17NPRB046302S32S8",2017,2,"Female","1","immature",0.634,1.816,151,1.182,0.634,NA,NA,NA,NA,NA,1.182,0.634,0,0,0,0,0
"125",468,"17NPRB046802S32S13",2017,2,"Female","1","immature",1.235,3.143,150,1.908,1.235,NA,NA,NA,NA,NA,1.908,1.235,0,0,0,0,0
"126",471,"17NPRB047102S33S1",2017,2,"Female","3","mature",1.085,2.37,166,1.285,1.085,NA,NA,NA,NA,NA,1.285,1.085,0,0,0,0,0
"127",474,"17NPRB047402S33S4",2017,2,"Female","2","mature",1.332,3.651,161,2.319,1.332,NA,NA,NA,NA,NA,2.319,1.332,0,0,0,0,0
"128",476,"17NPRB047602S33S6",2017,2,"Female","1","immature",1.052,3.583,166,2.531,1.052,NA,NA,NA,NA,NA,2.531,1.052,0,0,0,0,0
"129",483,"17NPRB048306S33S13",2017,6,"Female","4","mature",0.153,3.658,185,1.468,1.202,0.466,0.26,0.109,0.153,NA,1.468,1.202,0.466,0.26,0.109,0.153,0
"130",484,"17NPRB048402S33S14",2017,2,"Female","1","immature",1.398,3.853,157,2.455,1.398,NA,NA,NA,NA,NA,2.455,1.398,0,0,0,0,0
"131",489,"17NPRB048904S34S4",2017,4,"Female","5","mature",0.239,3.606,192,1.818,1.146,0.403,0.239,NA,NA,NA,1.818,1.146,0.403,0.239,0,0,0
"132",491,"17NPRB049102S34S6",2017,2,"Female","1","immature",0.743,2.602,148,1.859,0.743,NA,NA,NA,NA,NA,1.859,0.743,0,0,0,0,0
"133",492,"17NPRB049205S34S7",2017,5,"Female","4","mature",0.288,5.075,205,1.735,1.584,0.853,0.615,0.288,NA,NA,1.735,1.584,0.853,0.615,0.288,0,0
"134",493,"17NPRB049302S34S8",2017,2,"Female","1","immature",1.3,3.524,152,2.224,1.3,NA,NA,NA,NA,NA,2.224,1.3,0,0,0,0,0
"135",494,"17NPRB049405S34S9",2017,5,"Female","4","mature",0.111,3.145,193,0.988,1.3,0.534,0.212,0.111,NA,NA,0.988,1.3,0.534,0.212,0.111,0,0
"136",496,"17NPRB049602S34S11",2017,2,"Female","1","immature",1.501,3.409,161,1.908,1.501,NA,NA,NA,NA,NA,1.908,1.501,0,0,0,0,0
"137",501,"17NPRB050102S35S1",2017,2,"Female","1","immature",0.883,2.626,152,1.743,0.883,NA,NA,NA,NA,NA,1.743,0.883,0,0,0,0,0
"138",506,"17NPRB050603S35S6",2017,3,"Female","1","immature",0.576,3.812,172,1.786,1.45,0.576,NA,NA,NA,NA,1.786,1.45,0.576,0,0,0,0
"139",507,"17NPRB050702S35S7",2017,2,"Female","3","mature",1.045,3.321,166,2.276,1.045,NA,NA,NA,NA,NA,2.276,1.045,0,0,0,0,0
"140",509,"17NPRB050902S35S9",2017,2,"Female","2","mature",1.103,3.084,160,1.981,1.103,NA,NA,NA,NA,NA,1.981,1.103,0,0,0,0,0
"141",519,"17NPRB051902S36S4",2017,2,"Female","2","mature",1.587,4.13,168,2.543,1.587,NA,NA,NA,NA,NA,2.543,1.587,0,0,0,0,0
"142",521,"17NPRB052103S36S6",2017,3,"Female","1","immature",0.33,3.203,171,1.876,0.997,0.33,NA,NA,NA,NA,1.876,0.997,0.33,0,0,0,0
"143",530,"17NPRB053003S36S15",2017,3,"Female","2","mature",0.547,4.034,182,1.777,1.71,0.547,NA,NA,NA,NA,1.777,1.71,0.547,0,0,0,0
"144",545,"17NPRB054502S37S15",2017,2,"Female","1","immature",1.152,3.175,167,2.023,1.152,NA,NA,NA,NA,NA,2.023,1.152,0,0,0,0,0
"145",548,"17NPRB054802S39S1",2017,2,"Female","1","immature",1.398,3.683,158,2.285,1.398,NA,NA,NA,NA,NA,2.285,1.398,0,0,0,0,0
"146",549,"17NPRB054902S39S2",2017,2,"Female","1","immature",1.592,3.941,159,2.349,1.592,NA,NA,NA,NA,NA,2.349,1.592,0,0,0,0,0
"147",550,"17NPRB055003S39S3",2017,3,"Female","1","immature",0.435,3.504,165,1.902,1.167,0.435,NA,NA,NA,NA,1.902,1.167,0.435,0,0,0,0
"148",551,"17NPRB055102S39S4",2017,2,"Female","1","immature",0.87,2.646,136,1.776,0.87,NA,NA,NA,NA,NA,1.776,0.87,0,0,0,0,0
"149",552,"17NPRB055202S39S5",2017,2,"Female","1","immature",1.297,3.143,146,1.846,1.297,NA,NA,NA,NA,NA,1.846,1.297,0,0,0,0,0
"150",554,"17NPRB055403S39S7",2017,3,"Female","1","immature",0.663,3.737,173,1.804,1.27,0.663,NA,NA,NA,NA,1.804,1.27,0.663,0,0,0,0
"151",563,"17NPRB056302S40S1",2017,2,"Female","1","immature",1.05,3.267,159,2.217,1.05,NA,NA,NA,NA,NA,2.217,1.05,0,0,0,0,0
"152",564,"17NPRB056402S40S2",2017,2,"Female","1","immature",1.645,3.201,133,1.556,1.645,NA,NA,NA,NA,NA,1.556,1.645,0,0,0,0,0
"153",565,"17NPRB056502S40S3",2017,2,"Female","2","mature",1.006,2.43,133,1.424,1.006,NA,NA,NA,NA,NA,1.424,1.006,0,0,0,0,0
"154",566,"17NPRB056602S40S4",2017,2,"Female","1","immature",1.176,3.503,158,2.327,1.176,NA,NA,NA,NA,NA,2.327,1.176,0,0,0,0,0
