"","fish","agei","A1","A2","A3","A4","A6"
"60",16,2,173.183924128245,172.562205760567,171.312875966964,170.098843438784,171.044156427238
"61",16,3,168.273569651298,168.517305004915,167.960521143128,167.613692855175,167.676697846348
"62",16,4,165,165,165,165,165
"63",17,1,237.625987829071,237.705682082217,235.995428193872,231.823100240575,224.16000017735
"64",17,2,227.651089968943,228.502312278225,225.888746427194,224.378731841435,218.877546087344
"65",17,3,221.325544984471,221.902527352994,221.316676104173,219.982451290763,216.57349696298
"66",17,4,217.493724465032,217.845778820971,217.586829261709,217.051597590314,216.123926402129
"67",17,5,215.851515670987,215.847678797736,215.721905840477,215.468936592072,215.561963201064
"68",17,6,215,215,215,215,215
"69",18,1,200.120573991072,200.653467337457,200.482102066642,197.37261715499,199.020383786216
"70",18,2,192.666862696533,192.931843487435,192.946478478063,191.338546598481,192.319659207517
"71",18,3,189.348429585951,189.556829089411,189.511874529526,188.545918902907,189.097173341425
"72",18,4,187,187,187,187,187
"73",19,1,161.459356247063,161.691803253704,162.535589808277,160.647135836465,160.897024666307
"74",19,2,156,156,156,156,156
"75",20,1,214.199964696321,213.583633853031,215.165681046383,212.049119970752,214.180791930984
"76",20,2,204.731635589255,204.256291216354,205.703230070736,204.156891420215,204.462750422547
"77",20,3,201,201,201,201,201
"78",21,1,193.061789452523,193.132656077959,194.438476137337,190.331369221735,187.834554989308
"79",21,2,184.23892035063,184.739605201068,184.546371378885,183.411754487178,182.501394062851
"80",21,3,180,180,180,180,180
"81",22,1,186.366672148245,187.514736473962,186.295830718326,184.287654639902,184.4364309024
"82",22,2,179.930087184836,180.004210421132,179.215586596078,179.662796887656,178.799900473192
"83",22,3,177,177,177,177,177
"84",23,1,196.244545469985,194.091289338565,196.06107880699,193.548615719109,192.221052629858
"85",23,2,188.035948847903,186.911660079226,187.790743191753,187.759142905831,186.268838762965
"86",23,3,183,183,183,183,183
"87",24,1,173.557224716118,173.200263260004,172.948514661484,173.35444940585,173.393855534065
"88",24,2,168.673222858596,168.739642209641,168.833752640006,168.83473539183,168.666004610989
"89",24,3,167,167,167,167,167
"90",25,1,188.908318662605,190.861595252447,188.886195301936,187.339404285907,188.678521037252
"91",25,2,183.050130846435,184.097783663423,182.816389767827,182.430581938839,182.92534416986
"92",25,3,180,180,180,180,180
