"","sample_no","image_name","year","age","sex_histology","maturation_status_histology","maturity","anu_adj","radcap","length_mm","length_prior","Increment1","Increment2","Increment3","Increment4","Increment5","Increment6","Increment7","anu1","anu2","anu3","anu4","anu5","anu6","anu7","rad1","rad2","rad3","rad4","rad5","rad6","rad7"
"101",366,"17NPRB036605S25S6",2017,"5","Female","3","mature",0.084,3.352,183,3.268,1.711,0.813,0.397,0.347,0.084,NA,NA,1.711,0.813,0.397,0.347,0.084,0,0,1.711,2.524,2.921,3.268,3.352,3.352,3.352
"102",368,"17NPRB036805S25S8",2017,"5","Female","3","mature",0.168,3.562,172,3.394,0.896,1.261,0.707,0.53,0.168,NA,NA,0.896,1.261,0.707,0.53,0.168,0,0,0.896,2.157,2.864,3.394,3.562,3.562,3.562
"103",370,"17NPRB037005S25S10",2017,"5","Female","4","mature",0.155,4.346,191,4.191,2.251,1.157,0.523,0.26,0.155,NA,NA,2.251,1.157,0.523,0.26,0.155,0,0,2.251,3.408,3.931,4.191,4.346,4.346,4.346
"104",375,"17NPRB037506S25S15",2017,"6","Female","4","mature",0.134,3.492,186,3.358,1.29,0.995,0.724,0.21,0.139,0.134,NA,1.29,0.995,0.724,0.21,0.139,0.134,0,1.29,2.285,3.009,3.219,3.358,3.492,3.492
"105",376,"17NPRB037605S26S1",2017,"5","Female","4","mature",0.133,4.684,198,4.551,1.572,1.46,1.235,0.284,0.133,NA,NA,1.572,1.46,1.235,0.284,0.133,0,0,1.572,3.032,4.267,4.551,4.684,4.684,4.684
"106",384,"17NPRB038405S26S9",2017,"5","Female","3","mature",0.281,4.859,197,4.578,1.563,1.474,0.926,0.615,0.281,NA,NA,1.563,1.474,0.926,0.615,0.281,0,0,1.563,3.037,3.963,4.578,4.859,4.859,4.859
"107",388,"17NPRB038805S26S13",2017,"5","Female","4","mature",0.476,4.906,198,4.43,1.795,1.518,0.704,0.413,0.476,NA,NA,1.795,1.518,0.704,0.413,0.476,0,0,1.795,3.313,4.017,4.43,4.906,4.906,4.906
"108",400,"17NPRB040005S28S5",2017,"5","Female","3","mature",0.212,5.009,211,4.797,1.961,1.658,0.702,0.476,0.212,NA,NA,1.961,1.658,0.702,0.476,0.212,0,0,1.961,3.619,4.321,4.797,5.009,5.009,5.009
"109",409,"17NPRB040905S28S14",2017,"5","Female","5","mature",0.341,4.974,215,4.633,2.236,1.227,0.657,0.513,0.341,NA,NA,2.236,1.227,0.657,0.513,0.341,0,0,2.236,3.463,4.12,4.633,4.974,4.974,4.974
"110",419,"17NPRB041903S29S9",2017,"3","Female","1","immature",0.391,2.739,162,2.348,1.545,0.803,0.391,NA,NA,NA,NA,1.545,0.803,0.391,0,0,0,0,1.545,2.348,2.739,2.739,2.739,2.739,2.739
