"","sample_no","age","maturation_status_histology","maturity","anu_adj","radcap","length_mm","scale_length_prior"
"64",272,"6","3","mature",0.159,794.753,193,794.594
"65",273,"5","3","mature",0.257,794.753,186,794.496
"66",276,"3","3","mature",0.645,794.753,192,794.108
"67",278,"5","4","mature",0.207,794.753,194,794.546
"68",279,"6","4","mature",0.26,794.753,215,794.493
"69",280,"6","4","mature",0.102,794.753,210,794.651
"70",281,"6","3","mature",0.157,794.753,204,794.596
"71",282,"3","3","mature",0.375,794.753,180,794.378
"72",284,"6","3","mature",0.226,794.753,200,794.527
"73",285,"3","3","mature",0.661,794.753,179,794.092
"74",286,"3","3","mature",0.353,794.753,198,794.4
"75",287,"4","4","mature",0.481,794.753,193,794.272
"76",288,"3","3","mature",0.635,794.753,189,794.118
"77",292,"6","4","mature",0.162,794.753,206,794.591
"78",295,"5","3","mature",0.421,794.753,202,794.332
"79",296,"6","3","mature",0.216,794.753,196,794.537
"80",297,"6","4","mature",0.237,794.753,209,794.516
"81",299,"4","3","mature",0.576,794.753,211,794.177
"82",302,"6","3","mature",0.213,794.753,196,794.54
"83",305,"6","4","mature",0.149,794.753,211,794.604
"84",310,"5","4","mature",0.177,794.753,196,794.576
"85",312,"6","3","mature",0.11,794.753,197,794.643
"86",313,"6","4","mature",0.289,794.753,221,794.464
"87",318,"6","4","mature",0.161,794.753,225,794.592
"88",321,"6","4","mature",0.246,794.753,191,794.507
"89",323,"6","3","mature",0.119,794.753,212,794.634
"90",327,"6","4","mature",0.235,794.753,219,794.518
"91",331,"5","3","mature",0.248,794.753,203,794.505
"92",332,"6","3","mature",0.189,794.753,186,794.564
"93",339,"5","3","mature",0.148,794.753,204.12,794.605
"94",340,"5","4","mature",0.186,794.753,203,794.567
"95",341,"6","4","mature",0.141,794.753,211,794.612
"96",343,"5","3","mature",0.069,794.753,198,794.684
"97",345,"5","3","mature",0.268,794.753,211,794.485
"98",346,"6","3","mature",0.152,794.753,183,794.601
"99",355,"6","4","mature",0.17,794.753,218,794.583
"100",362,"2","1","immature",1.349,794.753,150.57,793.404
"101",366,"5","3","mature",0.084,794.753,183,794.669
"102",368,"5","3","mature",0.168,794.753,172,794.585
"103",370,"5","4","mature",0.155,794.753,191,794.598
"104",375,"6","4","mature",0.134,794.753,186,794.619
"105",376,"5","4","mature",0.133,794.753,198,794.62
"106",384,"5","3","mature",0.281,794.753,197,794.472
"107",388,"5","4","mature",0.476,794.753,198,794.277
"108",400,"5","3","mature",0.212,794.753,211,794.541
"109",409,"5","5","mature",0.341,794.753,215,794.412
"110",419,"3","1","immature",0.391,794.753,162,794.362
"111",427,"3","1","immature",0.594,794.753,182,794.159
"112",433,"5","4","mature",0.251,794.753,204,794.502
"113",435,"4","1","immature",0.307,794.753,191,794.446
"114",438,"5","4","mature",0.154,794.753,194,794.599
"115",447,"2","1","immature",1.224,794.753,160,793.529
"116",448,"2","1","immature",1.295,794.753,152,793.458
"117",452,"2","1","immature",1.059,794.753,162,793.694
"118",455,"5","4","mature",0.428,794.753,198,794.325
"119",459,"2","1","immature",0.836,794.753,133,793.917
"120",460,"2","2","mature",0.961,794.753,167,793.792
"121",461,"3","1","immature",0.408,794.753,193,794.345
"122",463,"2","1","immature",0.634,794.753,151,794.119
"123",468,"2","1","immature",1.235,794.753,150,793.518
"124",471,"2","3","mature",1.085,794.753,166,793.668
"125",474,"2","2","mature",1.332,794.753,161,793.421
"126",476,"2","1","immature",1.052,794.753,166,793.701
"127",483,"6","4","mature",0.153,794.753,185,794.6
"128",484,"2","1","immature",1.398,794.753,157,793.355
"129",489,"4","5","mature",0.239,794.753,192,794.514
"130",491,"2","1","immature",0.743,794.753,148,794.01
"131",492,"5","4","mature",0.288,794.753,205,794.465
"132",493,"2","1","immature",1.3,794.753,152,793.453
"133",501,"2","1","immature",0.883,794.753,152,793.87
"134",507,"2","3","mature",1.045,794.753,166,793.708
"135",509,"2","2","mature",1.103,794.753,160,793.65
"136",519,"2","2","mature",1.587,794.753,168,793.166
"137",521,"3","1","immature",0.33,794.753,171,794.423
"138",530,"3","2","mature",0.547,794.753,182,794.206
"139",548,"2","1","immature",1.398,794.753,158,793.355
"140",552,"2","1","immature",1.297,794.753,146,793.456
"141",563,"2","1","immature",1.05,794.753,159,793.703
"142",564,"2","1","immature",1.645,794.753,133,793.108
"143",565,"2","2","mature",1.006,794.753,133,793.747
"144",566,"2","1","immature",1.176,794.753,158,793.577
"145",568,"2","1","immature",1.599,794.753,152,793.154
"146",569,"2","1","immature",1.594,794.753,143,793.159
"147",571,"2","1","immature",1.159,794.753,149,793.594
"148",572,"2","1","immature",1.086,794.753,141,793.667
"149",576,"2","1","immature",0.97,794.753,133,793.783
"150",583,"2","1","immature",1.065,794.753,144,793.688
"151",585,"2","1","immature",1.287,794.753,124,793.466
"152",587,"2","1","immature",1.596,794.753,160,793.157
"153",595,"2","1","immature",1.238,794.753,150,793.515
"154",600,"2","1","immature",1.422,794.753,139,793.331
"155",605,"2","1","immature",1.525,794.753,136,793.228
"156",610,"2","1","immature",1.324,794.753,152,793.429
"157",616,"2","1","immature",1.176,794.753,141,793.577
"158",617,"2","1","immature",0.846,794.753,155,793.907
"159",625,"2","1","immature",1.121,794.753,134,793.632
"160",626,"2","1","immature",1.322,794.753,140,793.431
"161",628,"2","1","immature",1.688,794.753,137,793.065
"162",632,"2","1","immature",1.632,794.753,179,793.121
"163",634,"2","1","immature",1.245,794.753,141,793.508
"164",636,"2","1","immature",1.504,794.753,144,793.249
"165",637,"2","1","immature",1.265,794.753,147,793.488
"166",638,"3","1","immature",0.208,794.753,160,794.545
"167",639,"2","1","immature",1.183,794.753,157,793.57
"168",640,"2","1","immature",0.998,794.753,145,793.755
"169",642,"2","1","immature",1.453,794.753,141,793.3
"170",645,"2","1","immature",1.452,794.753,140,793.301
"171",647,"2","1","immature",1.452,794.753,134,793.301
"172",648,"2","1","immature",1.317,794.753,152,793.436
"173",650,"2","1","immature",1.048,794.753,149,793.705
"174",651,"2","1","immature",1.511,794.753,149,793.242
"175",654,"2","1","immature",1.321,794.753,156,793.432
"176",656,"2","1","immature",1.225,794.753,151,793.528
"177",658,"2","1","immature",1.408,794.753,153,793.345
"178",661,"2","1","immature",1.298,794.753,131,793.455
"179",662,"2","1","immature",1.252,794.753,155,793.501
"180",668,"2","2","mature",0.842,794.753,136,793.911
"181",670,"2","2","mature",1.215,794.753,162,793.538
"182",671,"3","1","immature",0.717,794.753,175,794.036
"183",685,"2","2","mature",0.931,794.753,160,793.822
"184",691,"2","2","mature",1.329,794.753,164,793.424
"185",695,"3","1","immature",0.471,794.753,160,794.282
"186",696,"2","1","immature",1.292,794.753,149,793.461
"187",701,"3","1","immature",0.591,794.753,152,794.162
"188",704,"3","3","mature",0.439,794.753,181,794.314
"189",705,"3","1","immature",0.666,794.753,180,794.087
"190",708,"3","2","mature",0.507,794.753,167,794.246
"191",711,"2","2","mature",1.213,794.753,157,793.54
"192",712,"3","1","immature",0.728,794.753,166,794.025
"193",715,"3","1","immature",0.662,794.753,171,794.091
"194",716,"3","1","immature",0.795,794.753,185,793.958
"195",724,"3","3","mature",0.823,794.753,166,793.93
"196",727,"3","3","mature",0.9,794.753,177,793.853
"197",728,"3","1","immature",0.588,794.753,173,794.165
"198",731,"3","1","immature",0.289,794.753,176,794.464
"199",732,"3","1","immature",0.68,794.753,159,794.073
"200",733,"3","1","immature",0.461,794.753,173,794.292
"201",734,"3","1","immature",0.833,794.753,179,793.92
"202",736,"3","1","immature",0.68,794.753,179,794.073
"203",737,"3","1","immature",0.77,794.753,182,793.983
"204",738,"3","1","immature",0.615,794.753,168,794.138
"205",740,"3","3","mature",0.601,794.753,170,794.152
"206",742,"3","1","immature",0.493,794.753,164,794.26
"207",749,"3","2","mature",0.543,794.753,183,794.21
"208",752,"3","1","immature",0.855,794.753,174,793.898
"209",753,"3","1","immature",0.624,794.753,162,794.129
"210",756,"3","2","mature",0.499,794.753,179,794.254
