image_name,Increment1 ,Increment2,Increment3,Increment4,Increment5,Increment6,Increment7
17NPRB022504S15S15,1.993,0.985,0.572,0.276,,,
17NPRB022606S16S1,1.501,1.596,0.615,0.422,0.423,0.16,
17NPRB022704S16S2,1.314,1.314,0.922,0.331,,,
17NPRB022804S16S3,2.084,0.979,0.594,0.429,,,
17NPRB022904S16S4,1.896,1.499,0.639,0.32,,,
17NPRB023003S16S5,1.897,0.865,0.504,,,,
17NPRB023103S16S6,1.998,1.296,0.273,,,,
17NPRB023204S16S7,1.138,1.088,1.525,0.536,,,
17NPRB023306S16S8,1.574,0.618,0.406,0.088,0.196,0.071,
17NPRB023404S16S9,1.962,1.074,0.221,0.169,,,
17NPRB023503S16S10,1.453,1.199,0.484,,,,
17NPRB023705S16S12,2.197,1.319,0.539,0.244,0.201,,
17NPRB023804S16S13,1.902,1.214,0.652,0.358,,,
17NPRB023904S16S14,1.942,1.235,0.924,0.564,,,
17NPRB024004S16S15,1.268,1.014,0.749,0.278,,,
17NPRB024103S17S1,1.637,0.911,0.403,,,,
17NPRB024304S17S3,1.214,1.354,0.605,0.237,,,
17NPRB024405S17S4,1.207,1.531,0.686,0.435,0.315,,
17NPRB024504S17S5,1.551,1.243,0.514,0.411,,,
17NPRB024604S17S6,2.255,1.233,0.774,0.369,,,
17NPRB024704S17S7,1.637,1.199,0.743,0.523,,,
17NPRB024806S17S8,1.089,1.504,0.679,0.624,0.264,0.156,
17NPRB024903S17S9,2.182,1.276,0.568,,,,
17NPRB025103S17S11,1.839,1.274,0.865,,,,
17NPRB025204S17S12,1.839,0.695,0.352,0.52,,,
17NPRB025303S17S13,2.405,1.048,0.731,,,,
17NPRB025503S17S15,1.983,1.111,0.577,,,,
17NPRB025603S18S1,2.13,1.287,0.548,,,,
17NPRB025704S18S2,1.407,1.23,0.582,0.283,,,
17NPRB025803S18S3,1.672,1.09,0.594,,,,
17NPRB025906S18S4,1.663,1.493,0.792,0.468,0.381,0.141,
17NPRB026004S18S5,1.443,1.223,0.761,0.227,,,
17NPRB026106S18S6,1.153,0.904,0.582,0.308,0.266,0.111,
17NPRB026204S18S7,1.617,2.03,0.448,0.228,,,
17NPRB026404S18S9,2.015,1.698,0.832,0.607,,,
17NPRB026504S18S10,2.476,1.644,0.638,0.441,,,
17NPRB026605S18S11,1.667,1.225,0.463,0.367,0.332,,
17NPRB026704S18S12,2.152,1.305,0.829,0.304,,,
17NPRB026804S18S13,1.742,1.502,0.631,0.325,,,
17NPRB027006S18S15,1.024,0.81,0.702,0.228,0.174,0.129,
17NPRB027104S19S1,1.373,1.462,0.927,0.372,,,
17NPRB027206S19S2,1.174,1.324,0.938,0.478,0.434,0.159,
17NPRB027305S19S3,1.835,1.205,0.61,0.322,0.257,,
17NPRB027403S19S4,2.331,1.709,0.797,,,,
17NPRB027507S19S5,1.692,0.663,0.786,0.578,0.338,0.408,0.151
17NPRB027603S19S6,2.167,1.719,0.645,,,,
17NPRB027705S19S7,1.448,1.531,0.721,0.269,0.149,,
17NPRB027805S19S8,1.911,1.565,0.83,0.482,0.207,,
17NPRB027906S19S9,1.635,1.323,0.667,0.349,0.224,0.26,
17NPRB028006S19S10,1.373,1.335,0.411,0.363,0.156,0.102,
17NPRB028106S19S11,1.55,1.176,0.497,0.401,0.238,0.157,
17NPRB028203S19S12,1.315,1.026,0.375,,,,
17NPRB028307S19S13,1.315,1.026,0.325,0.491,0.318,0.335,0.116
17NPRB028406S19S14,1.303,0.986,0.749,0.463,0.173,0.226,
17NPRB028503S19S15,1.674,1.651,0.661,,,,
17NPRB028603S20S1,2.226,1.951,0.353,,,,
17NPRB028704S20S2,1.906,1.011,0.937,0.481,,,
17NPRB028803S20S3,2.337,1.424,0.635,,,,
17NPRB028903S20S4,0.758,0.723,0.231,,,,
17NPRB029003S20S5,1.648,1.543,0.563,,,,
17NPRB029206S20S7,1.525,1.116,1.111,0.559,0.316,0.162,
17NPRB029403S20S9,2.44,1.612,0.605,,,,
17NPRB029505S20S10,1.674,0.976,0.678,0.395,0.421,,
17NPRB029606S20S11,1.66,1.473,0.503,0.587,0.202,0.216,
17NPRB029706S20S12,1.901,0.97,0.554,0.551,0.238,0.237,
17NPRB029803S20S13,1.566,1.304,0.409,,,,
17NPRB029904S20S14,2.264,0.895,0.518,0.576,,,
17NPRB030006S20S15,1.677,1.215,0.836,0.309,0.417,0.217,
17NPRB030206S21S2,1.962,1.35,0.873,0.311,0.317,0.213,
17NPRB030306S21S3,1.527,1.111,0.573,0.368,0.091,0.151,
17NPRB030406S21S4,1.524,0.957,0.681,0.153,0.176,0.051,
17NPRB030506S21S5,1.802,1.845,0.772,0.465,0.577,0.149,
17NPRB030606S21S6,1.48,1.051,0.441,0.21,0.137,0.127,
17NPRB030706S21S7,0.72,0.891,0.73,0.224,0.188,0.046,
17NPRB030806S21S8,1.239,1.494,0.845,0.59,0.368,0.21,
17NPRB031005S21S10,1.185,1.196,0.337,0.343,0.177,,
17NPRB031105S21S11,2.059,1.115,0.426,0.066,0.194,,
17NPRB031206S21S12,1.383,1.378,0.774,0.431,0.18,0.11,
17NPRB031306S21S13,2.076,1.857,0.825,0.379,0.373,0.289,
17NPRB031706S22S2,1.136,1.298,0.769,0.285,0.158,0.177,
17NPRB031806S22S3,1.709,1.604,0.769,0.642,0.348,0.161,
17NPRB032006S22S5,2.156,1.617,0.92,0.47,0.461,0.222,
17NPRB032106S22S6,1.471,1.716,0.793,0.29,0.235,0.246,
17NPRB032206S22S7,1.694,1.315,0.765,0.421,0.195,0.226,
17NPRB032306S22S8,1.452,1.139,1.201,0.391,0.281,0.119,
17NPRB032405S22S9,1.424,1.379,0.849,0.516,0.271,,
17NPRB032506S22S10,1.16,1.231,0.509,0.303,0.214,0.107,
17NPRB032606S22S11,1.47,1.242,0.49,0.363,0.158,0.207,
17NPRB032706S22S12,1.903,1.746,0.856,0.398,0.196,0.235,
17NPRB032906S22S14,1.646,1.066,0.972,0.336,0.343,0.176,
17NPRB033105S23S1,2.106,1.993,0.968,0.563,0.248,,
17NPRB033206S23S2,1.425,0.989,0.762,0.373,0.23,0.189,
17NPRB033406S23S4,1.378,1.303,1.007,0.641,0.43,0.333,
17NPRB033506S23S5,1.191,2.198,1.08,0.456,0.43,0.38,
17NPRB033806S23S8,1.775,1.332,0.49,0.512,0.318,0.136,
17NPRB033905S23S9,1.699,1.495,0.861,0.185,0.148,,
17NPRB034005S23S10,1.734,0.997,0.672,0.293,0.186,,
17NPRB034106S23S11,1.827,1.137,0.97,0.555,0.413,0.141,
17NPRB034305S23S13,1.536,1.164,0.767,0.449,0.069,,
17NPRB034402S23S14,2.109,1.23,,,,,
17NPRB034505S23S15,1.848,1.195,0.404,0.259,0.268,,
17NPRB034606S24S1,1.442,1.052,0.621,0.35,0.285,0.152,
17NPRB034802S24S3,1.585,0.849,,,,,
17NPRB034906S24S4,1.735,1.031,0.695,0.276,0.139,0.09,
17NPRB035002S24S5,1.738,0.82,,,,,
17NPRB035306S24S8,1.548,1.284,0.886,0.632,0.313,0.172,
17NPRB035402S24S9,1.673,0.795,,,,,
17NPRB035506S24S10,1.627,1.365,0.89,0.33,0.383,0.17,
17NPRB035606S24S11,1.922,1.281,0.669,0.239,0.29,0.257,
17NPRB035802S24S13,1.99,0.936,,,,,
17NPRB036102S25S1,2.027,1.019,,,,,
17NPRB036202S25S2,1.794,1.349,,,,,
17NPRB036302S25S3,1.725,1.169,,,,,
17NPRB036402S25S4,1.867,1.043,,,,,
17NPRB036506S25S5,1.491,1.246,0.54,0.348,0.257,0.183,
17NPRB036605S25S6,1.711,0.813,0.397,0.347,0.084,,
17NPRB036702S25S7,2.016,1.023,,,,,
17NPRB036805S25S8,0.896,1.261,0.707,0.53,0.168,,
17NPRB036902S25S9,1.935,0.574,,,,,
17NPRB037005S25S10,2.251,1.157,0.523,0.26,0.155,,
17NPRB037202S25S12,2.268,1.133,,,,,
17NPRB037404S25S14,2.046,1.016,0.32,0.249,,,
17NPRB037506S25S15,1.29,0.995,0.724,0.21,0.139,0.134,
17NPRB037605S26S1,1.572,1.46,1.235,0.284,0.133,,
17NPRB037706S26S2,1.421,0.926,0.655,0.482,0.635,0.506,0.192
17NPRB037805S26S3,0.893,1.119,0.526,0.321,0.1,,
17NPRB037905S26S4,1.681,0.89,1.167,0.346,0.162,,
17NPRB038003S26S5,1.367,0.746,0.245,,,,
17NPRB038106S26S6a,1.786,0.856,0.417,0.391,0.295,0.139,
17NPRB038202S26S7,1.099,0.765,,,,,
17NPRB038405S26S9,1.563,1.474,0.926,0.615,0.281,,
17NPRB038505S26S10,1.607,1.238,0.498,0.355,0.351,,
17NPRB038702S26S12,0.886,0.809,,,,,
17NPRB038805S26S13,1.795,1.518,0.704,0.413,0.476,,
17NPRB039002S26S15,1.505,0.872,,,,,
17NPRB039106S27S1,1.823,1.525,0.804,0.281,0.376,0.212,
17NPRB039402S27S4,1.942,1.095,,,,,
17NPRB039602S28S1,0.822,0.525,,,,,
17NPRB039702S28S2,1.305,0.936,,,,,
17NPRB039805S28S3,2.548,0.603,0.633,0.516,0.256,,
17NPRB040005S28S5,1.961,1.658,0.702,0.476,0.212,,
17NPRB040105S28S6a,1.447,1.326,0.397,0.336,0.501,,
17NPRB040206S28S7,1.548,1.561,1.016,0.464,0.153,0.096,
17NPRB040406S28S9,0.782,0.99,0.6,0.28,0.316,0.173,
17NPRB040502S28S10,1.874,1.032,,,,,
17NPRB040602S28S11,2.148,0.906,,,,,
17NPRB040702S28S12,1.817,0.944,,,,,
17NPRB040803S28S13,1.771,1.194,0.461,,,,
17NPRB040905S28S14,2.236,1.227,0.657,0.513,0.341,,
17NPRB041002S28S15,1.132,0.737,,,,,
17NPRB041102S29S1,2.171,1.444,,,,,
17NPRB041206S29S2,0.974,1.175,0.891,0.309,0.388,0.197,
17NPRB041302S29S3,1.928,0.961,,,,,
17NPRB041402S29S4,1.736,0.7,,,,,
17NPRB041504S29S5,1.089,1.144,0.379,0.296,,,
17NPRB041602S29S6,1.266,0.886,,,,,
17NPRB041705S29S7,1.235,0.883,1.131,0.416,0.564,,
17NPRB041802S29S8,1.66,0.822,,,,,
17NPRB041903S29S9,1.545,0.803,0.391,,,,
17NPRB042002S29S10,1.598,1.034,,,,,
17NPRB042105S29S11,0.831,1.324,0.629,0.396,0.273,,
17NPRB042302S29S13,2.36,1.382,,,,,
17NPRB042402S29S14,2.211,1.286,,,,,
17NPRB042503S29S15,1.436,1.066,0.594,,,,
17NPRB042605S30S1,1.55,1.325,0.762,0.43,0.192,,
17NPRB042703S30S2,2.32,1.385,0.594,,,,
17NPRB042802S30S3,1.326,0.808,,,,,
17NPRB042902S30S4,0.965,0.58,,,,,
17NPRB043003S30S5,2.178,1.376,0.424,,,,
17NPRB043102S30S6,2.31,1.322,,,,,
17NPRB043205S30S7,1.859,1.42,0.643,0.477,0.27,,
17NPRB043305S30S8,1.465,1.491,0.716,0.58,0.251,,
17NPRB043402S30S9,2.003,1.076,,,,,
17NPRB043504S30S10,1.519,0.765,0.451,0.307,,,
17NPRB043606S30S11a,1.411,1.217,0.512,0.303,0.261,0.104,
17NPRB043705S30S12,0.98,0.549,0.296,0.142,0.071,,
17NPRB043805S30S13,1.516,1.176,0.593,0.366,0.154,,
17NPRB044004S30S15,1.622,0.891,0.694,0.216,,,
17NPRB044102S31S1,2.698,1.383,,,,,
17NPRB044202S31S2,1.322,0.692,,,,,
17NPRB044302S31S3,2.101,1.113,,,,,
17NPRB044503S31S5,1.956,1.788,0.624,,,,
17NPRB044602S31S6,2.214,1.068,,,,,
17NPRB044702S31S7,2.644,1.224,,,,,
17NPRB044802S31S8,2.318,1.295,,,,,
17NPRB044902S31S9,1.183,0.599,,,,,
17NPRB045003S31S10,1.406,1.548,0.425,,,,
17NPRB045202S31S12,1.872,1.059,,,,,
17NPRB045302S31S13,1.414,0.999,,,,,
17NPRB045402S31S14a,1.753,0.736,,,,,
17NPRB045505S31S15,1.685,1.25,1.013,0.333,0.428,,
17NPRB045605S32S1,1.304,1.486,0.545,0.326,0.266,,
17NPRB045702S32S2,1.399,1.036,,,,,
17NPRB045802S32S3a,1.775,0.803,,,,,
17NPRB045902S32S4,1.407,0.836,,,,,
17NPRB046002S32S5,2.326,0.961,,,,,
17NPRB046103S32S6,1.859,1.103,0.408,,,,
17NPRB046202S32S7,1.617,0.635,,,,,
17NPRB046302S32S8,1.182,0.634,,,,,
17NPRB046403S32S9,1.546,1.919,0.518,,,,
17NPRB046502S32S10,2.169,1.307,,,,,
17NPRB046602S32S11,1.73,0.996,,,,,
17NPRB046702S32S12,1.678,0.597,,,,,
17NPRB046802S32S13,1.908,1.235,,,,,
17NPRB046902S32S14,2.109,1.113,,,,,
17NPRB047102S33S1,1.285,1.085,,,,,
17NPRB047302S33S3,1.811,1.125,,,,,
17NPRB047402S33S4,2.319,1.332,,,,,
17NPRB047502S33S5a,1.834,0.885,,,,,
17NPRB047602S33S6,2.531,1.052,,,,,
17NPRB047702S33S7,1.993,1.449,,,,,
17NPRB047802S33S8,2.046,0.903,,,,,
17NPRB047902S33S9,1.993,0.827,,,,,
17NPRB048002S33S10,1.676,0.973,,,,,
17NPRB048102S33S11,2.234,1.18,,,,,
17NPRB048306S33S13,1.468,1.202,0.466,0.26,0.109,0.153,
17NPRB048402S33S14,2.455,1.398,,,,,
17NPRB048602S34S1,1.885,1.041,,,,,
17NPRB048702S34S2,1.639,1.174,,,,,
17NPRB048802S34S3,1.788,1.026,,,,,
17NPRB048904S34S4,1.818,1.146,0.403,0.239,,,
17NPRB049003S34S5,1.724,1.007,0.598,,,,
17NPRB049102S34S6,1.859,0.743,,,,,
17NPRB049205S34S7,1.735,1.584,0.853,0.615,0.288,,
17NPRB049302S34S8,2.224,1.3,,,,,
17NPRB049405S34S9a,0.988,1.3,0.534,0.212,0.111,,
17NPRB049505S34S10,1.514,1.361,0.492,0.439,0.219,,
17NPRB049602S34S11a,1.908,1.501,,,,,
17NPRB049703S34S12,1.656,0.905,0.317,,,,
17NPRB049802S34S13,2.007,1.1,,,,,
17NPRB049902S34S14,1.964,0.739,,,,,
17NPRB050002S34S15,1.48,0.882,,,,,
17NPRB050102S35S1,1.743,0.883,,,,,
17NPRB050202S35S2,1.338,0.876,,,,,
17NPRB050402S35S4,2.307,1.455,,,,,
17NPRB050502S35S5,2.174,1.297,,,,,
17NPRB050603S35S6a,1.786,1.45,0.576,,,,
17NPRB050702S35S7,2.276,1.045,,,,,
17NPRB050802S35S8,1.99,1.069,,,,,
17NPRB050902S35S9,1.981,1.103,,,,,
17NPRB051102S35S11,1.906,1.063,,,,,
17NPRB051202S35S12,1.444,0.719,,,,,
17NPRB051302S35S13,2.451,1.096,,,,,
17NPRB051403S35S14,1.581,1.394,0.259,,,,
17NPRB051502S35S15,2.329,1.455,,,,,
17NPRB051603S36S1,1.838,0.904,0.322,,,,
17NPRB051702S36S2,2.085,1.221,,,,,
17NPRB051802S36S3,1.771,0.892,,,,,
17NPRB051902S36S4,2.543,1.587,,,,,
17NPRB052002S36S5,1.494,0.768,,,,,
17NPRB052103S36S6,1.876,0.997,0.33,,,,
17NPRB052302S36S8,1.407,0.768,,,,,
17NPRB052702S36S12,1.76,1.015,,,,,
17NPRB052803S36S13,0.918,1.151,0.522,,,,
17NPRB053003S36S15,1.777,1.71,0.547,,,,
17NPRB053102S37S1,2.352,1.121,,,,,
17NPRB053302S37S3,1.57,0.825,,,,,
17NPRB053402S37S4,1.83,0.745,,,,,
17NPRB053502S37S5,1.365,0.597,,,,,
17NPRB053902S37S9,1.829,0.87,,,,,
17NPRB054202S37S12,1.771,1.165,,,,,
17NPRB054402S37S14,1.751,1.04,,,,,
17NPRB054502S37S15a,2.023,1.152,,,,,
17NPRB054602S38S1,1.425,0.769,,,,,
17NPRB054802S39S1,2.285,1.398,,,,,
17NPRB054902S39S2a,2.349,1.592,,,,,
17NPRB055003S39S3a,1.902,1.167,0.435,,,,
17NPRB055102S39S4a,1.776,0.87,,,,,
17NPRB055202S39S5,1.846,1.297,,,,,
17NPRB055302S39S6a,1.918,1.404,,,,,
17NPRB055403S39S7a,1.804,1.27,0.663,,,,
17NPRB055502S39S8a,2.007,0.692,,,,,
17NPRB055602S39S9,1.945,1.269,,,,,
17NPRB055702S39S10,1.715,1.704,,,,,
17NPRB055803S39S11a,1.445,0.758,0.282,,,,
17NPRB055902S39S12a,2.485,1.403,,,,,
17NPRB056002S39S13a,2.315,1.462,,,,,
17NPRB056102S39S14,1.687,1.259,,,,,
17NPRB056202S39S15,1.997,1.251,,,,,
17NPRB056302S40S1,2.217,1.05,,,,,
17NPRB056402S40S2,1.556,1.645,,,,,
17NPRB056502S40S3,1.424,1.006,,,,,
17NPRB056602S40S4,2.327,1.176,,,,,
17NPRB056702S40S5,1.694,0.835,,,,,
17NPRB056802S40S6,1.588,1.599,,,,,
17NPRB056902S40S7,2.39,1.594,,,,,
17NPRB057003S40S8,1.97,1.279,,,,,
17NPRB057102S40S9,1.974,1.159,,,,,
17NPRB057202S40S10,1.562,1.086,,,,,
17NPRB057502S40S13,1.39,1.3,,,,,
17NPRB057602S40S14,1.693,0.97,,,,,
17NPRB057702S40S15,2.274,1.509,,,,,
17NPRB057902S41S2,1.865,1.224,,,,,
17NPRB058002S41S3a,2.423,1.498,,,,,
17NPRB058102S41S4,2.483,1.338,,,,,
17NPRB058302S41S6,1.682,1.065,,,,,
17NPRB058403S41S7,2.36,1.321,,,,,
17NPRB058502S41S8,1.428,1.287,,,,,
17NPRB058602S41S9,1.873,1.405,,,,,
17NPRB058702S41S10,2.475,1.596,,,,,
17NPRB058803S41S11,2.249,1.054,0.383,,,,
17NPRB058902S41S12,2.448,1.483,,,,,
17NPRB059002S41S13,1.567,1.269,,,,,
17NPRB059102S41S14,1.804,1.486,,,,,
17NPRB059203S41S15,2.213,0.811,0.217,,,,
17NPRB059302S42S1,2.435,1.165,,,,,
17NPRB059502S42S3,2.378,1.238,,,,,
17NPRB059602S42S4,2.33,1.352,,,,,
17NPRB059702S42S5,1.96,1.245,,,,,
17NPRB059802S42S6,1.45,0.771,,,,,
17NPRB059902S42S7,2.034,1.19,,,,,
17NPRB060002S42S8,1.464,1.422,,,,,
17NPRB060202S42S10,1.394,1.161,,,,,
17NPRB060302S42S11,2.019,1.25,,,,,
17NPRB060402S42S12 ,2.093,1.281,,,,,
17NPRB060502S42S13,1.509,1.525,,,,,
